No,유치원명,최종주소,X,Y
103,위미초등학교병설유치원 ,제주특별자치도 서귀포시 태위로 57,126.6534,33.275
104,의귀초등학교병설유치원 ,제주특별자치도 서귀포시 한신로 213,126.7148,33.312
105,중문초등학교병설유치원 ,제주특별자치도 서귀포시 천제연로 231,126.4303,33.2537
106,창천초등학교병설유치원 ,제주특별자치도 서귀포시 창천중앙로 13,126.3687,33.2648
107,태흥초등학교병설유치원 ,제주특별자치도 서귀포시 태위로 915,126.7432,33.2873
108,토산초등학교병설유치원 ,제주특별자치도 서귀포시 토산중앙로 68-9,126.7774,33.3135
109,토평초등학교병설유치원 ,제주특별자치도 서귀포시 토평남로 86,126.5894,33.2669
110,표선초등학교병설유치원 ,제주특별자치도 서귀포시 표선동서로 293,126.8349,33.3309
111,풍천초등학교병설유치원 ,제주특별자치도 서귀포시 풍천로 18,126.8502,33.3502
112,하례초등학교병설유치원 ,제주특별자치도 서귀포시 일주동로 8002,126.631,33.2659
113,하원초등학교병설유치원 ,제주특별자치도 서귀포시 월평하원로 149,126.4598,33.2541
