"Objt_id","Fclty_ty","Fclty_cd","Fclty_id","Fclty_nm","Adres","Rn_adres","Telno","X","Y","Ctprvn_cd","Sgg_cd","Emd_cd"
2195727.00000000000,"방범등",5080200000000.00000000000,1104980,"","","","",126.43255641900,33.49145656230,"제주특별자치도","제주시","외도일동"
2195728.00000000000,"방범등",5080200000000.00000000000,1104981,"","","","",126.42863747300,33.49028544120,"제주특별자치도","제주시","외도일동"
2195729.00000000000,"방범등",5080200000000.00000000000,1104982,"","","","",126.42809231000,33.48714858260,"제주특별자치도","제주시","외도일동"
2195730.00000000000,"방범등",5080200000000.00000000000,1104983,"","","","",126.42777568800,33.48712765510,"제주특별자치도","제주시","외도일동"
2195731.00000000000,"방범등",5080200000000.00000000000,1104984,"","","","",126.42867543100,33.48871470660,"제주특별자치도","제주시","외도일동"
2195732.00000000000,"방범등",5080200000000.00000000000,1104985,"","","","",126.43433589900,33.48732517050,"제주특별자치도","제주시","외도일동"
2195733.00000000000,"방범등",5080200000000.00000000000,1104986,"","","","",126.43507967800,33.49298553660,"제주특별자치도","제주시","외도이동"
2195734.00000000000,"방범등",5080200000000.00000000000,1104987,"","","","",126.42926780300,33.48455798450,"제주특별자치도","제주시","외도일동"
2195735.00000000000,"방범등",5080200000000.00000000000,1104988,"","","","",126.42737871100,33.48765783950,"제주특별자치도","제주시","외도일동"
2195736.00000000000,"방범등",5080200000000.00000000000,1104989,"","","","",126.43021313300,33.49027637760,"제주특별자치도","제주시","외도일동"
2195737.00000000000,"방범등",5080200000000.00000000000,1104990,"","","","",126.42778798000,33.48983948220,"제주특별자치도","제주시","외도일동"
2195738.00000000000,"방범등",5080200000000.00000000000,1104991,"","","","",126.42737056000,33.48699983110,"제주특별자치도","제주시","외도일동"
2195739.00000000000,"방범등",5080200000000.00000000000,1104992,"","","","",126.43431724700,33.48862363500,"제주특별자치도","제주시","외도일동"
2195740.00000000000,"방범등",5080200000000.00000000000,1104993,"","","","",126.43185777600,33.48589727700,"제주특별자치도","제주시","외도일동"
2195741.00000000000,"방범등",5080200000000.00000000000,1104994,"","","","",126.43262092700,33.48648013390,"제주특별자치도","제주시","외도일동"
2195742.00000000000,"방범등",5080200000000.00000000000,1104995,"","","","",126.43028961200,33.48763329050,"제주특별자치도","제주시","외도일동"
2195743.00000000000,"방범등",5080200000000.00000000000,1104996,"","","","",126.43242963900,33.48972801540,"제주특별자치도","제주시","외도일동"
2195744.00000000000,"방범등",5080200000000.00000000000,1104997,"","","","",126.42949903800,33.48601663880,"제주특별자치도","제주시","외도일동"
2195745.00000000000,"방범등",5080200000000.00000000000,1104998,"","","","",126.43031246600,33.48870478960,"제주특별자치도","제주시","외도일동"
2195746.00000000000,"방범등",5080200000000.00000000000,1104999,"","","","",126.42891846900,33.48473434910,"제주특별자치도","제주시","외도일동"
2195747.00000000000,"방범등",5080200000000.00000000000,1105000,"","","","",126.43506624700,33.49336369170,"제주특별자치도","제주시","외도이동"
2195748.00000000000,"방범등",5080200000000.00000000000,1105001,"","","","",126.42821223300,33.48738526090,"제주특별자치도","제주시","외도일동"
2195749.00000000000,"방범등",5080200000000.00000000000,1105002,"","","","",126.42890921600,33.48504562510,"제주특별자치도","제주시","외도일동"
2195750.00000000000,"방범등",5080200000000.00000000000,1105003,"","","","",126.43593655300,33.49364623760,"제주특별자치도","제주시","외도이동"
2195751.00000000000,"방범등",5080200000000.00000000000,1105004,"","","","",126.43035798900,33.49140690530,"제주특별자치도","제주시","외도일동"
2195752.00000000000,"방범등",5080200000000.00000000000,1105005,"","","","",126.42851395800,33.49224915270,"제주특별자치도","제주시","외도일동"
2195753.00000000000,"방범등",5080200000000.00000000000,1105006,"","","","",126.42859735000,33.49139762690,"제주특별자치도","제주시","외도일동"
2195754.00000000000,"방범등",5080200000000.00000000000,1105007,"","","","",126.42750318000,33.48592783370,"제주특별자치도","제주시","외도일동"
2195755.00000000000,"방범등",5080200000000.00000000000,1105008,"","","","",126.43248392400,33.48740867500,"제주특별자치도","제주시","외도일동"
2195756.00000000000,"방범등",5080200000000.00000000000,1105009,"","","","",126.42887863600,33.48608203160,"제주특별자치도","제주시","외도일동"
2195757.00000000000,"방범등",5080200000000.00000000000,1105010,"","","","",126.43320689100,33.49147207160,"제주특별자치도","제주시","외도일동"
2195758.00000000000,"방범등",5080200000000.00000000000,1105011,"","","","",126.43431481200,33.48883252260,"제주특별자치도","제주시","외도일동"
2195759.00000000000,"방범등",5080200000000.00000000000,1105012,"","","","",126.42829683200,33.48592373480,"제주특별자치도","제주시","외도일동"
2195760.00000000000,"방범등",5080200000000.00000000000,1105013,"","","","",126.42931861400,33.49028109670,"제주특별자치도","제주시","외도일동"
2195761.00000000000,"방범등",5080200000000.00000000000,1105014,"","","","",126.43148124200,33.49033828060,"제주특별자치도","제주시","외도일동"
2195762.00000000000,"방범등",5080200000000.00000000000,1105015,"","","","",126.43370375600,33.49246986750,"제주특별자치도","제주시","외도이동"
2195763.00000000000,"방범등",5080200000000.00000000000,1105016,"","","","",126.42902998100,33.48871372670,"제주특별자치도","제주시","외도일동"
2195764.00000000000,"방범등",5080200000000.00000000000,1105017,"","","","",126.43302847200,33.49249743420,"제주특별자치도","제주시","외도일동"
2195765.00000000000,"방범등",5080200000000.00000000000,1105018,"","","","",126.43035698000,33.48777947640,"제주특별자치도","제주시","외도일동"
2195766.00000000000,"방범등",5080200000000.00000000000,1105019,"","","","",126.44592428600,33.48154353440,"제주특별자치도","제주시","도평동"
2195767.00000000000,"방범등",5080200000000.00000000000,1105020,"","","","",126.45983591800,33.48969541630,"제주특별자치도","제주시","이호이동"
2195768.00000000000,"방범등",5080200000000.00000000000,1105021,"","","","",126.46617922900,33.50157205390,"제주특별자치도","제주시","도두일동"
2195769.00000000000,"방범등",5080200000000.00000000000,1105022,"","","","",126.90673695300,33.47852938860,"제주특별자치도","서귀포시","성산읍"
2195770.00000000000,"방범등",5080200000000.00000000000,1105023,"","","","",126.90774820900,33.47830717710,"제주특별자치도","서귀포시","성산읍"
2195771.00000000000,"방범등",5080200000000.00000000000,1105024,"","","","",126.90622545900,33.47863899820,"제주특별자치도","서귀포시","성산읍"
2195772.00000000000,"방범등",5080200000000.00000000000,1105025,"","","","",126.90305222600,33.48016036290,"제주특별자치도","서귀포시","성산읍"
2195773.00000000000,"방범등",5080200000000.00000000000,1105026,"","","","",126.90518245300,33.47886324530,"제주특별자치도","서귀포시","성산읍"
2195774.00000000000,"방범등",5080200000000.00000000000,1105027,"","","","",126.90163764000,33.48251153940,"제주특별자치도","서귀포시","성산읍"
2195775.00000000000,"방범등",5080200000000.00000000000,1105028,"","","","",126.90244933500,33.48087946150,"제주특별자치도","서귀포시","성산읍"
2195776.00000000000,"방범등",5080200000000.00000000000,1105029,"","","","",126.90822744000,33.47818013580,"제주특별자치도","서귀포시","성산읍"
2195777.00000000000,"방범등",5080200000000.00000000000,1105030,"","","","",126.90464684800,33.47897977400,"제주특별자치도","서귀포시","성산읍"
2195778.00000000000,"방범등",5080200000000.00000000000,1105031,"","","","",126.90276834200,33.48049968520,"제주특별자치도","서귀포시","성산읍"
2195779.00000000000,"방범등",5080200000000.00000000000,1105032,"","","","",126.90165933100,33.48207373730,"제주특별자치도","서귀포시","성산읍"
2195780.00000000000,"방범등",5080200000000.00000000000,1105033,"","","","",126.90178428900,33.48461104690,"제주특별자치도","제주시","구좌읍"
2195781.00000000000,"방범등",5080200000000.00000000000,1105034,"","","","",126.90371763700,33.47942255500,"제주특별자치도","서귀포시","성산읍"
2195782.00000000000,"방범등",5080200000000.00000000000,1105035,"","","","",126.90725038500,33.47841517900,"제주특별자치도","서귀포시","성산읍"
2195783.00000000000,"방범등",5080200000000.00000000000,1105036,"","","","",126.90415765100,33.47915935690,"제주특별자치도","서귀포시","성산읍"
2195784.00000000000,"방범등",5080200000000.00000000000,1105037,"","","","",126.90214659400,33.48124022690,"제주특별자치도","서귀포시","성산읍"
2195785.00000000000,"방범등",5080200000000.00000000000,1105038,"","","","",126.90183792600,33.48160666560,"제주특별자치도","서귀포시","성산읍"
2195786.00000000000,"방범등",5080200000000.00000000000,1105039,"","","","",126.90165947300,33.48375676530,"제주특별자치도","제주시","구좌읍"
2195787.00000000000,"방범등",5080200000000.00000000000,1105040,"","","","",126.90569072100,33.47875300730,"제주특별자치도","서귀포시","성산읍"
2195788.00000000000,"방범등",5080200000000.00000000000,1105041,"","","","",126.90341271200,33.47972480710,"제주특별자치도","서귀포시","성산읍"
2195789.00000000000,"방범등",5080200000000.00000000000,1105042,"","","","",126.90994997900,33.46587670360,"제주특별자치도","서귀포시","성산읍"
2195790.00000000000,"방범등",5080200000000.00000000000,1105043,"","","","",126.91445037200,33.47187567820,"제주특별자치도","서귀포시","성산읍"
2195791.00000000000,"방범등",5080200000000.00000000000,1105044,"","","","",126.91038833300,33.47550394400,"제주특별자치도","서귀포시","성산읍"
2195792.00000000000,"방범등",5080200000000.00000000000,1105045,"","","","",126.91950811000,33.46966372350,"제주특별자치도","서귀포시","성산읍"
2195793.00000000000,"방범등",5080200000000.00000000000,1105046,"","","","",126.91687852000,33.47139415830,"제주특별자치도","서귀포시","성산읍"
2195794.00000000000,"방범등",5080200000000.00000000000,1105047,"","","","",126.91478154200,33.46777313700,"제주특별자치도","서귀포시","성산읍"
2195795.00000000000,"방범등",5080200000000.00000000000,1105048,"","","","",126.91535595000,33.47192174140,"제주특별자치도","서귀포시","성산읍"
2195796.00000000000,"방범등",5080200000000.00000000000,1105049,"","","","",126.91531470800,33.46797879860,"제주특별자치도","서귀포시","성산읍"
2195797.00000000000,"방범등",5080200000000.00000000000,1105050,"","","","",126.91088238200,33.46624180820,"제주특별자치도","서귀포시","성산읍"
2195798.00000000000,"방범등",5080200000000.00000000000,1105051,"","","","",126.91680405800,33.46859497510,"제주특별자치도","서귀포시","성산읍"
2195799.00000000000,"방범등",5080200000000.00000000000,1105052,"","","","",126.91917009900,33.46885178550,"제주특별자치도","서귀포시","성산읍"
2195800.00000000000,"방범등",5080200000000.00000000000,1105053,"","","","",126.92072140400,33.46905366640,"제주특별자치도","서귀포시","성산읍"
2195801.00000000000,"방범등",5080200000000.00000000000,1105054,"","","","",126.91333627900,33.46720394200,"제주특별자치도","서귀포시","성산읍"
2195802.00000000000,"방범등",5080200000000.00000000000,1105055,"","","","",126.91991389600,33.46884821180,"제주특별자치도","서귀포시","성산읍"
2195803.00000000000,"방범등",5080200000000.00000000000,1105056,"","","","",126.91631510300,33.46838718600,"제주특별자치도","서귀포시","성산읍"
2195804.00000000000,"방범등",5080200000000.00000000000,1105057,"","","","",126.91384997400,33.46740265310,"제주특별자치도","서귀포시","성산읍"
2195805.00000000000,"방범등",5080200000000.00000000000,1105058,"","","","",126.91189157400,33.46663364690,"제주특별자치도","서귀포시","성산읍"
2195806.00000000000,"방범등",5080200000000.00000000000,1105059,"","","","",126.91719456400,33.46870928980,"제주특별자치도","서귀포시","성산읍"
2195807.00000000000,"방범등",5080200000000.00000000000,1105060,"","","","",126.91107549700,33.47464998470,"제주특별자치도","서귀포시","성산읍"
