No.,시설명,설치장소,주소,X,Y
213,삼성초등학교 놀이시설,학교,제주특별자치도 제주시 서광로29길 35 ,126.525508,33.50297896
214,제주서초등학교 놀이시설,학교,제주특별자치도 제주시 성화로6길 51,126.5104557,33.51187275
215,한라초등학교 놀이시설,학교,제주특별자치시 제주시 연화로 42,126.4864829,33.47810109
216,화북초등학교 놀이시설,학교,제주특별자치도 제주시 일주동로 157 ,126.5619226,33.51844983
217,조천초등학교교래분교 놀이시설,학교,제주특별자치도 제주시 조천읍 비자림로 672,126.6783048,33.43639488
218,송당초등학교 놀이시설,학교,제주특별자치시 제주시 중산간동로 2218-3,126.781183,33.47089121
219,오라초등학교 놀이시설,학교,제주특별자치도 제주시 연사길 48 ,126.5135068,33.4899133
220,한동초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 일주동로 2831,126.8287589,33.53856856
221,제주동초등학교 놀이시설,학교,제주특별자치도 제주시 동문로 65 ,126.5335091,33.51398178
222,신광초등학교 놀이시설,학교,제주특별자치도 제주시 성신로 25 ,126.4844333,33.49166135
223,대흘초등학교 놀이시설,학교,제주특별자치도 제주시 조천읍 중산간동로 677,126.6579675,33.49940642
224,곽금초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 일주서로 6000,126.3071392,33.44688622
225,저청초등학교 놀이시설,학교,제주특별자치도 제주시 한경면 중산간서로 3591,126.2516178,33.32637258
226,효돈초등학교 놀이시설,학교,제주특별자치도 서귀포시 효돈로 161,126.616115,33.26427079
227,중문초등학교 놀이시설,학교,제주특별자치도 서귀포시 천제연로 231,126.4294707,33.25237921
228,장전초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 장전로 122,126.3904901,33.44966094
229,신촌초등학교 놀이시설,학교,제주특별자치도 제주시 조천읍 신북로 51,126.6193003,33.53392261
230,납읍초등학교놀이시설,학교,제주특별자치도 제주시 애월읍 납읍로2길 47,126.3308347,33.43533243
231,광령초등학교 놀이시설,학교,제주특별자치도 제주시 애월읍 광성로 276,126.4368218,33.45977147
232,하도초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 일주동로 3378,126.8787775,33.51709882
233,새서귀초등학교 놀이시설,학교,제주특별자치시 서귀포시 신서귀로76번길 6-3,126.5132139,33.25635261
234,외도초등학교 놀이시설,학교,제주특별자치도 제주시 일주서로 7368 ,126.4344316,33.49307394
235,조천초등학교 놀이시설,학교,제주특별자치도 제주시 조천읍 신북로 195,126.6338276,33.53540027
236,토평초등학교 놀이시설,학교,제주특별자치시 서귀포시 토평남로 86,126.5895879,33.2658264
237,보목초등학교 놀이시설,학교,제주특별자치도 서귀포시 마소물로8번길 9,126.5999776,33.24466337
